FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Tyler Johnson,Bro,G,4,23.2,22.2,6,2,1,18,0.556,28,0.393,0.576,13.8,1.8,2.3,0,0.25,0.75,116
Nikola Jokic,Den,C,19,36.5,28.9,14.1,79,0.835,245,0.555,98,0.429,0.58,24.4,9.8,5.7,1.05,0.79,3.26,116.4
Derrick Jones Jr.,Mia,F,15,6.5,9.9,9.4,5,0.4,8,0.5,9,0.444,0.588,1.5,0.9,0.5,0.4,0.33,0.13,124.6
Enes Kanter,Bos,C,10,10.3,21.9,7.9,10,0.5,41,0.512,1,1,0.536,5,4.3,0.7,0,0,0.4,119.5
Michael Kidd-Gilchrist,Dal,F,6,9.2,13.8,5.7,6,0.667,5,0.4,9,0.222,0.357,2.3,1,0.5,0.17,0.17,0.17,99.1
Maxi Kleber,Dal,F,6,33.9,10.2,8.3,12,0.75,13,0.615,26,0.192,0.397,6.7,6.5,1.5,0.33,1.17,0.67,105.7
Furkan Korkmaz,Phi,G-F,4,10.1,12.1,17.9,5,0.6,1,0,6,0,0,0.8,1.5,0.5,0.25,0,0.5,41.3
Kyle Korver,Mil,G-F,10,11.9,20,9.1,7,1,10,0.5,37,0.405,0.585,6.2,0.9,0.1,0.2,0.2,0.5,110.5
Rodions Kurucs,Bro,F,4,14.6,16.8,12.6,2,0,12,0.917,8,0,0.55,5.5,3.3,0.8,0.25,0.5,0.75,99.3
Kyle Kuzma,Lal,F,21,23,19.5,9.7,37,0.784,96,0.531,83,0.313,0.503,10,3.1,0.8,0.29,0.33,1,104.8
Romeo Langford,Bos,G-F,7,6.5,12.5,15.5,2,0.5,8,0.375,2,0.5,0.45,1.4,0.4,0.3,0.14,0,0.29,85.4
Vic Law,Orl,F,1,3.6,11.9,0,0,0,0,0,1,1,1.5,3,2,1,0,0,0,
Kawhi Leonard,Lac,F,13,39.3,29.4,9.6,94,0.862,195,0.549,73,0.329,0.534,28.2,9.3,5.5,2.31,0.85,2.54,120.1
Meyers Leonard,Mia,C,3,10.3,13.1,0,2,1,4,0.75,4,0.5,0.75,4.7,0.3,1,0.33,0,0,163.9
Caris LeVert,Bro,G,4,34.9,28.6,13.4,25,0.72,52,0.346,21,0.429,0.432,20.3,5.8,9.5,1.25,0.25,3.25,106.9
Damian Lillard,Por,G,4,35.7,27,15.1,33,0.97,31,0.419,33,0.394,0.508,24.3,3.5,4.3,0.5,0.25,3.5,116.3
Brook Lopez,Mil,C,10,32.8,17.7,8.9,20,0.75,61,0.656,53,0.396,0.627,15.8,5.5,0.5,1,1.3,1.2,120
Robin Lopez,Mil,C,3,6.9,8.4,0,0,0,4,0.75,0,0,0.75,2,1.3,0,0,0,0,145.2
Kyle Lowry,Tor,G,11,37.6,21.6,13.8,60,0.8,76,0.513,72,0.319,0.497,17.7,6.5,5.8,1.73,0.73,2.55,111.8
Timothe Luwawu-Cabarrot,Bro,G-F,4,32.9,22.7,11.1,12,0.917,20,0.35,39,0.333,0.449,16,3.8,1.5,0.75,0,2,95.3
Terance Mann,Lac,G-F,13,2.1,11.2,28.6,0,0,3,0.667,2,0,0.4,0.3,0.5,0.1,0.08,0,0.15,
Boban Marjanovic,Dal,C,6,13.7,19.4,8.1,9,0.778,29,0.586,1,0,0.567,6.8,5.8,0.8,0,0.33,0.5,123.1
Jeremiah Martin,Bro,G,3,9,25.2,12.2,1,1,9,0.111,5,0.6,0.393,4,1,1.3,0,0.33,0.67,87.8
Frank Mason,Mil,G,2,1.1,0,,0,0,0,0,0,0,,0,0,0.5,0,0,0,
Wesley Matthews,Mil,G,10,24.6,12,10.2,10,0.7,14,0.5,43,0.395,0.57,7.2,1.8,0.9,0.9,0.4,0.7,112.5
CJ McCollum,Por,G,5,39.2,26.3,12.1,22,0.682,64,0.484,35,0.371,0.51,23.2,5.8,3.2,1.2,0.4,3,102.4
T.J. McConnell,Ind,G,3,9.3,17.9,18.4,2,0.5,8,0.375,0,0,0.375,2.3,2,2.3,0,0,0.67,91.8
Doug McDermott,Ind,F,4,13.6,13.5,6.3,0,0,5,0.4,10,0.2,0.333,2.5,0.8,0.3,0.25,0,0.25,67.8
JaVale McGee,Lal,C-F,14,9.7,13.5,21.5,2,0.5,30,0.667,2,0,0.625,2.9,3.1,0.5,0.14,0.71,0.64,113.3
Rodney McGruder,Lac,G,5,3.1,14,0,0,0,2,0.5,3,0.667,0.8,1.6,0.8,0.4,0,0,0,
Ben McLemore,Hou,G,11,11.8,14.9,7,0,0,4,0.25,36,0.389,0.55,4,1,0.5,0.36,0,0.27,109.5
Khris Middleton,Mil,F,10,35.5,28.4,14.5,46,0.826,115,0.417,65,0.354,0.458,20.3,6.9,6,1.1,0.2,3.4,99.9
Malcolm Miller,Tor,G-F,1,5.3,25,0,0,0,2,0,1,1,0.5,3,0,0,0,0,0,97.8
Paul Millsap,Den,F,19,24.2,16.5,15,54,0.796,74,0.432,44,0.341,0.462,8,4.7,1.2,0.63,0.47,1.32,105.9
Shake Milton,Phi,G-F,4,31.5,18.3,11.3,7,0.857,19,0.579,25,0.4,0.591,14.5,3.3,2.8,0.5,0,1.5,116.6
Donovan Mitchell,Uta,G,7,37.7,37.5,13.7,58,0.948,93,0.538,64,0.516,0.634,36.3,5,4.9,1,0.29,4.14,125.4
Juwan Morgan,Uta,F,7,12.3,8.5,6.4,6,0.333,2,0.5,10,0.2,0.333,1.4,3,0.7,0.29,0,0.14,101.7
Marcus Morris Sr.,Lac,F,13,29.9,14.2,7.1,14,0.929,52,0.538,59,0.475,0.631,11.8,4.8,1.6,0.85,0.08,0.69,129.4
Markieff Morris,Lal,F,21,18.4,13.4,14.3,9,0.778,29,0.517,69,0.42,0.597,5.9,3,1,0.29,0.14,0.81,112.2
Monte Morris,Den,G,19,21.4,17.7,6.3,34,0.824,93,0.581,40,0.3,0.541,9.1,1.5,2.7,0.63,0.11,0.53,123.8
Emmanuel Mudiay,Uta,G,3,11.3,22,6.3,2,0.5,11,0.273,3,0.667,0.429,4.3,2,0.7,0,0.33,0.33,94
Jamal Murray,Den,G,19,39.6,27.6,11.6,78,0.897,231,0.537,137,0.453,0.59,26.5,4.8,6.6,0.95,0.32,2.79,121.5
Dzanan Musa,Bro,G-F,3,13.1,21.1,14.9,14,0.714,5,0.4,6,0,0.182,4.7,1,1.3,0,0.33,1,88
Mike Muscala,Okc,F-C,2,9.9,4.4,0,0,0,1,0,1,1,0.75,1.5,2,0.5,0,0,0,158.8
Abdel Nader,Okc,F,3,8.5,13.4,0,2,0.5,2,0,5,0.2,0.214,1.3,1,0,0.33,0.67,0,65.2
Raul Neto,Phi,G,2,12.9,16.9,10,0,0,4,0.25,5,0.4,0.444,4,1.5,1.5,0.5,0,0.5,95.7
Georges Niang,Uta,F,7,16.3,19.2,4.3,2,1,15,0.667,29,0.414,0.636,8.3,2.1,0.6,0,0.14,0.29,127.7
Joakim Noah,Lac,F-C,2,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
Nerlens Noel,Okc,C-F,7,13.9,10.4,8.5,10,0.5,16,0.5,1,0,0.471,3,4.1,0.4,0.29,0.71,0.29,106.8
Kendrick Nunn,Mia,G,15,15.9,20.4,11.2,8,1,49,0.49,43,0.279,0.457,6.1,2.1,1.3,0.2,0.2,0.8,94.5
Jusuf Nurkic,Por,C,5,32.3,20.7,16.2,23,0.783,46,0.478,11,0.273,0.465,14.2,10.6,3.6,1.4,0.2,2.6,108
Semi Ojeleye,Bos,F,13,9.4,10.9,3.3,2,1,5,0.4,23,0.217,0.339,1.6,0.9,0.1,0.23,0,0.08,81.8
Victor Oladipo,Ind,G,4,30.6,28.9,18.2,16,0.938,23,0.435,33,0.364,0.5,17.8,3.3,2.5,2.25,0,3.5,96.2
Kelly Olynyk,Mia,C,17,15.2,21.1,10.8,28,0.821,46,0.609,49,0.347,0.563,7.6,4.6,1.1,0.24,0.47,0.76,116.6
Royce O'Neale,Uta,F,7,35.5,9,27.3,6,0.5,10,0.3,22,0.455,0.563,5.6,5.4,2.7,1.29,0.29,1.86,99
Miye Oni,Uta,G-F,2,7,23.4,14.3,0,0,2,1,4,0.25,0.583,3.5,2,0,0.5,0.5,0.5,108.1
Kyle O'Quinn,Phi,C-F,1,5.7,15.3,100,0,0,0,0,0,0,,0,1,1,0,0,2,
Patrick Patterson,Lac,F,2,4.9,13.5,0,0,0,0,0,3,1,1.5,4.5,0.5,2,0,0,0,280.1
Chris Paul,Okc,G,7,37.3,24.2,15.7,26,0.885,69,0.565,43,0.372,0.563,21.3,7.4,5.3,1.57,0.43,3.29,111.2
Norvel Pelle,Phi,F,1,6.5,0,,0,0,0,0,0,0,,0,0,0,1,1,0,
Mason Plumlee,Den,F-C,19,10.9,12.2,19.9,12,0.667,38,0.5,1,0,0.487,2.4,3.2,1.3,0.21,0.42,0.58,119.6
Vincent Poirier,Bos,C-F,1,1.8,0,,0,0,0,0,0,0,,0,0,1,1,0,0,
Michael Porter Jr.,Den,F,19,23.7,20.6,12.2,35,0.743,75,0.587,89,0.382,0.579,11.4,6.7,0.8,0.68,0.32,1.32,110.6
Kristaps Porzingis,Dal,F-C,3,31.5,24.2,5.6,23,0.87,23,0.522,17,0.529,0.638,23.7,8.7,0.7,0,1,1,137.8
Norman Powell,Tor,G,11,24.8,20.6,8.6,29,0.793,52,0.558,52,0.423,0.596,13.4,2.4,1,0.55,0.27,1,116.7
Josh Reaves,Dal,G-F,2,4.6,23.1,20.5,2,1,2,0.5,1,0,0.333,2,1,0.5,0,0.5,0.5,95.8
Josh Richardson,Phi,G,4,36.1,21.7,11.1,18,0.944,28,0.357,28,0.357,0.446,16.8,3.8,3.3,0.5,0.5,2,107.3
Austin Rivers,Hou,G,12,17.6,15.9,10.7,13,0.769,26,0.385,35,0.257,0.385,4.8,2.5,1.3,0.58,0.08,0.67,90.9
Andre Roberson,Okc,G-F,1,3.4,12.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Duncan Robinson,Mia,F,21,28.6,15.8,7.7,38,0.868,20,0.65,156,0.397,0.602,11.7,2.8,1.8,0.67,0.29,0.76,121.7
Rajon Rondo,Lal,G,16,24.7,18,20.8,19,0.684,71,0.493,50,0.4,0.537,8.9,4.3,6.6,1.44,0.13,2.13,114.2
Terrence Ross,Orl,G-F,5,27,24.7,10.2,14,0.857,34,0.588,30,0.333,0.547,16.4,4.4,1,0.8,0.2,1.6,105.8
JaKarr Sampson,Ind,F,4,12.5,16.6,11.1,0,0,16,0.625,0,0,0.625,5,3.3,1,0.5,0,0.5,115.6
Dennis Schroder,Okc,G,7,32.4,26,12.4,25,0.8,64,0.484,45,0.289,0.463,17.3,3.7,3.6,0.57,0.14,2.43,97.8
Mike Scott,Phi,F,4,5,14.8,0,4,1,3,0.333,2,0,0.2,1.5,2,0.3,0,0,0,119.8
Landry Shamet,Lac,G,13,18.7,13.5,17.3,7,0.714,17,0.529,42,0.357,0.534,5.2,1.7,1.3,0.46,0.23,1,99.1
Pascal Siakam,Tor,F,11,38,23.6,9.8,46,0.717,129,0.481,53,0.189,0.423,17,7.5,3.8,1.09,0.36,2,96.6
Anfernee Simons,Por,G,4,20.5,16.6,12.3,6,0.833,12,0.167,14,0.429,0.423,6.8,2.8,2.5,1.5,0,1,101.7
Marcus Smart,Bos,G,17,38.1,18.4,16.8,56,0.875,75,0.493,123,0.333,0.497,14.5,5.2,4.6,1.24,0.47,2.65,106.7
JR Smith,Lal,G,10,7.5,19.2,21.2,0,0,4,0.25,22,0.273,0.385,2,0.3,0.3,0.2,0,0.7,65.9
Edmond Sumner,Ind,G,3,13.5,11.2,20.2,2,1,4,0.5,3,0,0.286,2,2,0,0,0,0.67,69.7
Jayson Tatum,Bos,F-G,17,40.6,28.2,11,123,0.813,208,0.471,126,0.373,0.504,25.7,10,5,1,1.18,2.82,112.5
Garrett Temple,Bro,G-F,4,34.3,17.3,10.4,6,0.833,13,0.615,36,0.25,0.439,12,2.8,2,0.75,0.25,1.5,91.8
Daniel Theis,Bos,F,17,28.3,13.6,10.2,33,0.788,91,0.626,26,0.154,0.538,8.9,7.1,1.5,0.35,1.24,0.88,119.8
Lance Thomas,Bro,F,3,5.7,16.2,0,4,0.5,3,0.333,2,0,0.2,1.3,1,0,0,0.33,0,75.5
Matt Thomas,Tor,G,10,8.4,11.5,4.5,0,0,9,0.889,12,0.417,0.738,3.1,1.4,0.7,0.1,0.1,0.1,145.5
Matisse Thybulle,Phi,G-F,4,18.9,5.2,22.2,0,0,3,0.667,4,0.25,0.5,1.8,1.8,0.5,0.75,0.25,0.5,90.6
Gary Trent Jr.,Por,G-F,5,30.6,14.5,9.4,7,0.857,21,0.286,24,0.417,0.467,9.6,2,0.6,0.8,0,1,100.9
P.J. Tucker,Hou,F,12,34.5,10.8,12,0,0,21,0.476,67,0.373,0.54,7.9,7.2,1.4,1.08,0.25,1,111.3
Rayjon Tucker,Uta,G,2,5.6,25.3,16.7,0,0,2,0.5,3,0.333,0.5,2.5,0,0,0,0,0.5,80.1
Myles Turner,Ind,C-F,4,36.4,19,15,16,0.438,30,0.633,14,0.429,0.636,15.8,10.8,0.8,0.5,4,2.25,108.8
Fred VanVleet,Tor,G,11,39.1,22.9,9.9,25,0.84,80,0.413,110,0.391,0.513,19.6,4.4,6.9,1.64,0.64,2,112
Gabe Vincent,Mia,G,1,0.3,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
Noah Vonleh,Den,F,1,3.1,14.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Nikola Vucevic,Orl,C,5,36.9,29.8,10.1,11,0.909,67,0.567,44,0.409,0.586,28,11,4,0.8,0.6,2.6,113
Dion Waiters,Lal,G,5,7.6,16,7.2,2,1,8,0.5,4,0,0.333,2,0.4,0.4,0.2,0.2,0.2,84.5
Kemba Walker,Bos,G,17,36.9,23,9.9,81,0.852,130,0.569,126,0.31,0.518,19.6,4.1,5.1,0.88,0.41,1.88,116.9
Brad Wanamaker,Bos,G,17,16,13.9,21.2,16,0.875,33,0.515,27,0.444,0.583,4.9,2,1.8,0.71,0.29,1.06,111.5
T.J. Warren,Ind,F,4,39.1,24.4,13.3,9,1,49,0.51,19,0.368,0.522,20,6.3,3,2.25,0.25,2.75,102.8
Tremont Waters,Bos,G,1,2.4,18.6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,
Paul Watson,Tor,G,2,4.4,10.1,0,0,0,2,0.5,0,0,0.5,1,0,0.5,0.5,0,0,120.2
Russell Westbrook,Hou,G,8,32.7,31.5,16.3,32,0.531,107,0.477,33,0.242,0.45,17.9,7,4.6,1.5,0.25,3.75,90.6
Hassan Whiteside,Por,C,5,21.2,14.2,16.6,14,0.5,23,0.522,1,1,0.563,6.8,7,0.4,0.2,2,1.2,104.6
Robert Williams III,Bos,C-F,13,11.5,12.2,17.2,6,0.333,30,0.767,1,0,0.742,3.7,3.9,0.8,0.23,0.46,0.54,136.1
Nigel Williams-Goss,Uta,G,1,2.4,0,,0,0,0,0,0,0,,0,0,1,0,0,0,
Grant Williams,Bos,F,17,10,9.1,11.6,10,0.7,9,0.556,17,0.588,0.769,2.8,1.5,0.4,0.12,0.29,0.24,143.4
Lou Williams,Lac,G,13,26.2,23.5,11.5,37,0.811,95,0.526,51,0.235,0.466,12.8,3.2,4.2,0.69,0.15,1.62,107.4
Marvin Williams,Mil,F,10,17.9,12.4,5.8,3,1,24,0.458,23,0.435,0.553,5.5,4.8,0.9,0.5,0.3,0.3,123.6
Delon Wright,Dal,G,4,13.3,13.9,29.1,5,0.6,8,0.625,2,0.5,0.65,4,0.8,1.8,1.25,0,1.25,107.5
Ivica Zubac,Lac,C,13,24.6,14.5,11.3,37,0.811,78,0.564,0,0,0.564,9.1,7.2,0.6,0.15,0.77,0.92,126.1